Department,Role,Count,Real_Data_Count,Synthetic_Data_Count,Min_Salary,P10,P25,Median,P75,P90,Max_Salary,Mean,Std_Dev
Finance,Associate,30,5,25,66228,73482,87605,101168,118181,132456,132456,102508,21157
Marketing,Associate,30,0,30,55000,56592,60352,68638,87003,100000,100000,73331,15381
Operations,Executive,30,30,0,70000,75008,80910,97361,139171,161260,250000,115866,44559
Human Resources,Associate,30,1,29,82602,82727,93370,120303,143625,157696,157696,117825,25887
Operations,Associate,30,12,18,56774,63871,71349,85499,99446,119111,190000,90340,26993
Finance,Manager,36,36,0,150000,155877,165000,184020,200375,229554,260000,187727,27867
Operations,Manager,37,37,0,155605,159000,168157,175000,215202,254000,286000,194417,36216
Finance,Executive,30,11,19,52401,76822,91990,104999,129141,157578,235000,114268,36533
Marketing,Executive,30,25,5,45000,65000,77500,91233,125000,140000,180000,99937,31907
Marketing,Manager,32,32,0,82500,88560,92183,116000,151250,180000,195000,124573,34366
Sales,Executive,30,20,10,57575,74119,90000,107499,132278,165000,260000,115792,42225
Human Resources,Manager,39,39,0,52401,54318,58449,98905,118907,131508,209040,96735,38452
Sales,Associate,30,4,26,45000,57343,65726,69774,92194,104965,104965,76103,17921
Sales,Manager,35,35,0,115000,119400,130000,145000,157500,178000,200000,145557,21979
Human Resources,Executive,30,3,27,52401,55430,59055,70027,80268,89289,101887,70887,13447
